symbol,preselection_score,passed_filters,core_coverage,quality_score,valuation_score,revenue_cagr_3y,fcf_cagr_3y,roic,fcf_margin,debt_to_ebitda,asset_turnover,sector,industry,valuation_method,valuation_context,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_sales,enterprise_to_ebitda,enterprise_to_revenue,fcf_yield,missing_flags
BSX,53.405863,false,5,27.973760,0.500000,0.165419,0.550057,0.100621,0.169573,2.141974,0.459643,HEALTHCARE,"MEDICAL DEVICES",enterprise_multiples,"industry:MEDICAL DEVICES",92142854144,102246899712,31.958761,15.862904,4.590159,19.151000,5.093000,0.036943,""
APTV,53.086494,false,5,25.449792,0.866667,0.052626,0.539564,0.103135,0.074958,2.690824,0.871225,CONSUMER CYCLICAL,"AUTO PARTS",enterprise_multiples,"industry:AUTO PARTS",15593660416,19744548864,82.786670,6.730478,0.764470,6.190000,0.968000,0.098053,""
CL,53.024319,false,5,28.224319,0.400000,0.042935,0.250136,0.427423,0.178295,1.758997,1.248132,CONSUMER DEFENSIVE,"HOUSEHOLD & PERSONAL PRODUCTS",enterprise_multiples,"industry:HOUSEHOLD & PERSONAL PRODUCTS",68524605440,75930214400,32.475285,20.651487,3.362016,15.598000,3.725000,0.053032,""
CRM,52.869415,false,5,22.185779,0.890303,0.098200,0.316424,0.101460,0.346827,1.368824,0.369752,TECHNOLOGY,"SOFTWARE - APPLICATION",enterprise_multiples,"industry:SOFTWARE - APPLICATION",174506885120,180045512704,23.876923,12.508622,4.202454,14.349000,4.336000,0.082530,""
ACN,52.748390,false,5,21.708390,0.920000,0.041937,0.072162,0.296332,0.156077,0.670212,1.065400,TECHNOLOGY,"TECHNOLOGY",enterprise_multiples,"industry:TECHNOLOGY",120982819340,121488982016,15.788200,15.726200,1.674600,9.540000,1.685000,0.089665,""
IVZ,52.506283,false,5,22.372950,0.844444,0.017768,0.413447,-0.027431,0.225965,-18.126158,0.235369,FINANCIAL SERVICES,"ASSET MANAGEMENT",financial_multiples,"industry:ASSET MANAGEMENT",10790146048,15268846592,,8.034994,1.692015,11.929000,2.394000,0.133548,""
WSM,52.274367,false,5,26.858530,0.451320,-0.034517,0.147400,0.421022,0.135196,0.884489,1.442500,CONSUMER CYCLICAL,"RETAIL",enterprise_multiples,"sector:CONSUMER CYCLICAL",21487330000,21904029696,21.006900,21.006900,2.928800,13.285000,2.806000,0.049166,""
ADP,52.260345,false,5,22.518527,0.811818,0.076137,0.199367,0.349108,0.213643,1.512337,0.385257,TECHNOLOGY,"SOFTWARE - APPLICATION",enterprise_multiples,"industry:SOFTWARE - APPLICATION",81407442944,83097460736,19.335255,16.818182,3.837385,13.428000,3.917000,0.053959,""
ISRG,52.222842,false,5,31.822842,0.033333,0.173867,0.374859,0.177064,0.247469,0.000000,0.491952,HEALTHCARE,"MEDICAL INSTRUMENTS & SUPPLIES",enterprise_multiples,"industry:MEDICAL INSTRUMENTS & SUPPLIES",164958568448,159293931520,59.165607,40.608078,16.389814,44.771000,15.827000,0.015099,""
MA,52.201670,false,5,32.201670,0.000000,0.138220,0.176234,0.972242,0.501144,0.919785,0.605480,FINANCIAL SERVICES,"CREDIT SERVICES",financial_multiples,"industry:CREDIT SERVICES",438766993408,447403524096,29.760895,21.693703,13.380714,21.778000,13.644000,0.037453,""
HAS,52.058459,false,5,28.082313,0.558277,-0.070631,0.517894,0.273340,0.147810,2.680794,0.846776,CONSUMER CYCLICAL,"LEISURE",enterprise_multiples,"sector:CONSUMER CYCLICAL",12574492672,15116192768,,14.280122,2.674684,12.596000,3.215000,0.055263,""
EPAM,51.865991,false,5,22.265991,0.800000,0.041908,0.170073,0.153847,0.112275,0.209455,1.113200,TECHNOLOGY,"INFORMATION TECHNOLOGY SERVICES",enterprise_multiples,"industry:INFORMATION TECHNOLOGY SERVICES",7464382464,6163601408,20.107143,9.700283,1.367841,8.715000,1.129000,0.082082,""
PNR,51.759662,false,5,21.199662,0.880000,0.004364,0.389460,0.144435,0.178640,1.684055,0.607966,INDUSTRIALS,"SPECIALTY INDUSTRIAL MACHINERY",enterprise_multiples,"industry:SPECIALTY INDUSTRIAL MACHINERY",14162330624,15826830336,22.076336,14.878202,3.391363,14.505000,3.790000,0.052675,""
CMI,51.660796,false,5,22.220796,0.786667,0.062461,0.316375,0.163689,0.070864,1.632596,0.990527,INDUSTRIALS,"SPECIALTY INDUSTRIAL MACHINERY",enterprise_multiples,"industry:SPECIALTY INDUSTRIAL MACHINERY",76003442688,81567440896,26.807505,17.482994,2.257304,15.716000,2.423000,0.031393,""
